Region,Household Unique Sequential Number,2010Urban-RuralFIES,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Replicate,Household Size,C101-Line Number,C03-Relationship to Household Head,C04-Sex,C05-Age as of Last Birthday,C06-Marital Status,C07-Highest Grade Completed,C08-Currently Attending School,C09-Graduate of technical/vocational course,C09a - Currently Attending Non-formal Training for Skills Development,C10-Overseas Filipino Indicator,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C17-Nature of Employment (Primary Occupation),C18-Normal Working Hours per Day,C19-Total Number of Hours Worked during the past week,C20-Want More Hours of Work,C21-Look for Additional Work,C22-First Time to Work,C23-Class of Worker (Primary Occupation),C24-Basis of Payment (Primary Occupation),C25-Basic Pay per Day (Primary Occupation),C26-Other Job Indicator,C27-Number of Jobs during the past week,C28-Total Hours Worked for all Jobs,C29-Reasons for Working More than 48 Hours during the past week,C30-Looked for Work or Tried to Establish Business during the past week,C31-First Time to Look for Work,C32-Job Search Method,C33-Number of Weeks Spent in Looking for Work,C34-Reason for not Looking for Work,C35-When Last Looked for Work,C36-Available for Work,C37-Willingness to take up work during the past week or within two weeks,C38-Previous Job Indicator,C40-Previous Occupation,C41-Did work or had a job during the past quarter,C43-Kind of Business (past quarter),"New Employment Criteria (jul 05, 2005)",,,,,,
8,15910,2,1296.2827,1,19,1327,48,6,1,1,1,45,2,24020,,2,2,5,1,,92,1,1,8,56,1,2,2,1,3,200,2,,56,12,,,,,,,,,,,1,1,1,,,,,,
13,36234,1,193.3469,1,19,288,48,4,3,3,2,19,1,34012,2,2,2,5,1,,52,56,1,8,48,2,2,2,1,4,537,2,,48,,,,,,,,,,,,1,56,1,,,,,,
13,34597,1,494.0035,1,19,508,47,6,2,2,2,41,2,10020,,2,2,5,1,,95,47,1,12,72,2,2,2,3,,,2,,72,11,,,,,,,,,,,1,47,1,,,,,,
10,18332,1,431.172,1,19,454,48,7,5,3,2,26,1,60010,,2,2,5,1,,52,47,1,8,48,2,2,2,1,4,365,2,,48,,,,,,,,,,,,1,47,1,,,,,,
7,4840,2,795.287,1,19,931,48,6,2,3,2,15,1,24010,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
3,5302,2,1803.0614,1,19,2118,46,3,3,6,1,13,1,10020,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8519,1,401.3814,1,19,75,46,3,3,3,1,11,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27039,1,492.4166,1,19,132,46,5,5,6,2,8,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30011,2,336.3239,1,19,26,45,6,1,1,2,68,3,10020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,91,2,,3,,,,,,
13,31992,1,227.0118,1,19,232,6,8,2,2,2,68,2,10020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,91,2,,3,,,,,,
7,4657,2,587.3987,1,19,836,47,5,2,2,2,67,2,10020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,2,,,,3,,,,,,
16,29227,2,317.5973,1,19,256,45,3,2,2,2,73,2,24010,,2,2,5,1,,32,86,1,8,48,2,2,2,2,4,350,2,,48,,,,,,,,,,,,1,86,1,,,,,,
5,26566,1,507.2865,1,19,45,47,5,5,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36561,1,714.1039,1,19,61,45,4,2,2,2,51,2,10020,,2,2,5,1,,91,96,2,10,20,2,2,2,0,3,300,2,,20,20,,,,,,,,,,,1,96,1,,,,,,
8,10823,2,343.9381,1,19,346,47,6,3,3,2,23,1,60111,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,1,3,1,1,1,52,2,,2,,,,,,
14,4129,2,280.6915,1,19,349,3,7,5,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20285,2,1425.4177,1,19,20,45,8,3,3,1,23,1,50714,2,2,2,5,1,,32,47,1,8,48,1,2,2,1,4,350,2,,48,,,,,,,,,,,,1,47,1,,,,,,
5,7302,2,118.7235,1,19,104,1,8,2,2,2,63,2,10010,,2,2,5,2,1,61,1,1,4,0,2,2,2,3,,,2,,0,39,,,,,,,,,,,2,,1,,,,,,
9,31569,1,598.0298,1,19,275,46,6,6,8,2,30,2,24020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,91,2,,3,,,,,,
3,21236,1,1407.6429,1,19,1733,47,6,2,3,1,36,2,24020,,1,2,5,1,,13,49,1,7,49,2,2,2,3,,,2,,49,11,,,,,,,,,,,1,49,1,,,,,,
9,38814,2,505.8267,1,19,528,45,2,2,2,2,27,2,10020,,2,2,5,1,,52,47,1,13,66,2,2,2,3,,,2,,66,11,,,,,,,,,,,1,47,1,,,,,,
13,33690,1,244.5319,1,19,333,1,5,2,2,2,42,2,24020,,2,2,5,1,,14,47,1,13,91,2,2,2,3,,,2,,91,11,,,,,,,,,,,1,47,1,,,,,,
14,13624,2,183.8108,1,19,117,15,6,4,3,1,25,1,40010,,2,2,5,1,,92,1,2,8,40,2,2,2,6,,,2,,40,,,,,,,,,,,,2,,1,,,,,,
8,20798,2,539.6446,1,19,406,46,6,5,3,2,25,1,60010,,2,1,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
1,23898,2,1822.9821,1,19,2040,48,7,3,3,2,15,1,24010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
2,25155,2,131.5688,1,19,82,15,3,3,8,2,9,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15249,2,421.1984,1,19,302,48,5,1,1,1,49,2,24010,,2,2,5,1,,61,1,1,7,42,2,2,2,3,,,2,,42,,,,,,,,,,,,1,1,1,,,,,,
13,36582,1,439.5639,1,19,666,46,6,3,5,1,31,2,24020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,93,2,,3,,,,,,
13,35536,1,342.5404,1,19,354,48,8,2,2,2,45,2,24020,,2,2,5,1,,81,10,1,8,48,2,2,2,1,4,537,2,,48,,,,,,,,,,,,1,10,1,,,,,,
8,37388,2,129.7928,1,19,64,21,10,1,1,2,52,2,24010,,2,2,5,1,,95,47,1,5,25,1,2,2,3,,,2,,25,20,,,,,,,,,,,1,10,1,,,,,,
