Region,Household Unique Sequential Number,2010Urban-RuralFIES,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Replicate,Household Size,C101-Line Number,C03-Relationship to Household Head,C04-Sex,C05-Age as of Last Birthday,C06-Marital Status,C07-Highest Grade Completed,C08-Currently Attending School,C09-Graduate of technical/vocational course,C09a - Currently Attending Non-formal Training for Skills Development,C10-Overseas Filipino Indicator,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C17-Nature of Employment (Primary Occupation),C18-Normal Working Hours per Day,C19-Total Number of Hours Worked during the past week,C20-Want More Hours of Work,C21-Look for Additional Work,C22-First Time to Work,C23-Class of Worker (Primary Occupation),C24-Basis of Payment (Primary Occupation),C25-Basic Pay per Day (Primary Occupation),C26-Other Job Indicator,C27-Number of Jobs during the past week,C28-Total Hours Worked for all Jobs,C29-Reasons for Working More than 48 Hours during the past week,C30-Looked for Work or Tried to Establish Business during the past week,C31-First Time to Look for Work,C32-Job Search Method,C33-Number of Weeks Spent in Looking for Work,C34-Reason for not Looking for Work,C35-When Last Looked for Work,C36-Available for Work,C37-Willingness to take up work during the past week or within two weeks,C38-Previous Job Indicator,C40-Previous Occupation,C41-Did work or had a job during the past quarter,C43-Kind of Business (past quarter),"New Employment Criteria (jul 05, 2005)",,,,,,
12,26396,,555.0195,1,2020,383,71,4,1,1,1,34,2,40714,,1,2,5,1,,33,41,2,8,48,2,2,2,1,3,400,2,,48,,,,,,,,,,,,1,41,1,2,,,,,
1,1137,,429.0693,1,2020,691,69,6,1,1,1,44,2,10018,,2,2,5,1,,62,3,1,6,30,2,2,2,3,,,2,,30,20,,,,,,,,,,,1,3,1,2,,,,,
17,39458,,164.3945,1,2020,72,32,6,2,2,2,73,2,24012,,2,2,5,1,,93,47,1,8,56,2,2,2,1,3,100,2,,56,11,,,,,,,,,,,1,47,1,2,,,,,
14,33780,,443.0024,1,2020,171,71,5,5,8,2,84,3,10013,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,61,2,,3,2,,,,,
7,15041,,238.0612,1,2020,57,29,4,2,2,1,44,2,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,5,,1,1,1,74,1,43,2,1,,,,,
13,28683,,1868.7238,1,2020,1370,70,7,1,1,2,57,3,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,75,2,,3,1,,,,,
4,8202,,1148.0574,1,2020,1450,69,5,2,2,2,67,2,24012,,2,2,5,1,,11,84,2,8,8,2,2,2,2,7,,2,,8,20,,,,,,,,,,,1,84,1,2,,,,,
8,16987,,318.8306,1,2020,207,71,7,7,4,1,62,1,10014,,2,2,5,1,,93,42,1,8,40,2,2,2,1,4,250,2,,40,,,,,,,,,,,,1,42,1,2,,,,,
8,16846,,168.9032,1,2020,98,18,10,4,3,1,17,1,24013,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
17,40032,,731.0069,1,2020,705,70,6,1,1,1,40,2,10013,,2,2,5,1,,54,84,1,8,16,1,1,2,2,6,,1,1,32,20,,,,,,,,,,,1,84,1,2,,,,,
8,16650,,208.1128,1,2020,178,20,14,13,5,1,22,2,60001,1,2,2,5,1,,11,84,2,3,21,1,2,2,2,7,,2,,21,20,,,,,,,,,,,1,84,1,1,,,,,
3,6451,,137.9159,1,2020,110,34,15,12,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
10,20379,,159.285,1,2020,39,19,5,4,3,1,29,1,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,2,,,,3,2,,,,,
3,6160,,427.178,1,2020,513,72,5,3,3,1,12,1,10016,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
12,24831,,917.9929,1,2020,558,70,4,4,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,8422,,2146.9772,1,2020,1214,70,4,4,3,1,13,1,10018,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
3,5984,,283.9731,1,2020,522,70,9,4,3,2,15,1,10016,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
9,19234,,552.6492,1,2020,448,69,7,7,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
12,26083,,712.6917,1,2020,374,71,4,2,3,1,32,1,24015,,2,2,5,1,,71,41,1,8,40,2,2,2,1,3,400,2,,40,,,,,,,,,,,,1,41,1,1,,,,,
13,28352,,881.7855,1,2020,476,70,2,2,2,2,28,2,10018,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,1,,,,,
14,34835,,122.5744,1,2020,102,11,8,4,3,1,20,1,60001,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
3,3457,,541.3804,1,2020,463,70,4,1,1,1,29,2,60002,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
15,37139,,172.857,1,2020,39,19,6,1,1,1,48,2,10015,,2,2,5,1,,31,50,2,8,40,2,2,2,1,4,300,2,,40,,,,,,,,,,,,1,50,1,2,,,,,
6,12115,,153.2689,1,2020,205,22,5,4,7,2,90,3,10016,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,75,2,,3,1,,,,,
5,9932,,158.734,1,2020,156,26,6,5,3,2,20,1,60002,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
3,4256,,1270.1692,1,2020,1762,72,7,3,3,1,33,1,24011,,2,2,5,1,,92,1,2,7,28,1,1,2,1,3,500,2,,28,20,,,,,,,,,,,1,1,1,1,,,,,
12,25318,,506.9647,1,2020,228,2,5,5,8,1,20,1,34013,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
2,1922,,695.0289,1,2020,194,69,6,6,8,2,88,3,24013,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,92,2,,3,2,,,,,
10,21676,,464.2382,1,2020,63,69,4,2,2,2,39,2,60411,,2,2,5,1,,52,47,1,6,42,2,2,2,3,,,2,,42,,,,,,,,,,,,1,47,1,1,,,,,
11,22851,,466.9362,1,2020,9,69,8,7,6,2,5,1,2000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6,11968,,778.5334,1,2020,525,72,1,1,1,2,85,1,24013,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,92,2,,3,2,,,,,
10,21692,,306.6898,1,2020,82,72,4,2,2,2,45,2,24015,,2,2,5,1,,61,1,1,3,28,2,2,2,3,,,2,,28,20,,,,,,,,,,,1,1,1,2,,,,,
3,3518,,521.935,1,2020,400,71,3,3,11,2,44,3,10018,,2,2,5,1,,52,10,1,15,105,2,2,2,1,7,,2,,105,11,,,,,,,,,,,1,10,1,2,,,,,
4,8137,,1339.5175,1,2020,370,69,7,5,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
10,20530,,76.1053,1,2020,29,21,4,3,3,1,15,1,24012,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
12,25331,,420.3317,1,2020,226,1,3,1,1,1,41,2,24015,,2,2,5,1,,13,49,1,10,70,2,2,2,3,,,2,,70,11,,,,,,,,,,,1,49,1,1,,,,,
8,17100,,516.4101,1,2020,261,69,3,1,1,1,27,2,10018,,2,2,5,1,,92,1,2,9,45,2,2,2,1,1,300,2,,45,,,,,,,,,,,,1,1,1,2,,,,,
13,27994,,247.9277,1,2020,74,24,5,5,3,1,22,1,60533,2,2,2,5,1,,23,85,2,5,25,2,2,1,2,4,1454,2,,25,20,,,,,,,,,,,1,85,1,1,,,,,
17,41158,,233.6773,1,2020,45,26,5,1,1,1,41,2,60811,,2,2,5,1,,52,46,1,8,40,2,2,2,1,4,500,2,,40,,,,,,,,,,,,1,46,1,2,,,,,
15,35950,,470.0482,1,2020,227,12,2,2,6,1,7,1,0,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,29336,,835.5301,1,2020,315,71,9,8,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
3,4085,,1569.3261,1,2020,722,71,2,1,1,2,79,3,10015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,3,,2,2,2,,,,3,2,,,,,
14,34725,,134.1542,1,2020,88,10,5,5,6,2,7,1,10011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2,1825,,937.6288,1,2020,1048,70,6,6,3,1,7,1,2000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
14,33715,,287.2616,1,2020,210,26,7,2,2,1,54,2,24015,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
4,6574,,2286.2439,1,2020,1257,298,7,4,3,1,20,1,24015,2,2,2,5,1,,32,11,1,8,48,2,2,1,1,3,350,2,,48,,,,,,,,,,,,1,11,1,2,,,,,
11,23273,,1110.1804,1,2020,1027,69,4,4,3,2,15,1,24012,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
4,6897,,1367.8035,1,2020,181,72,9,2,2,2,72,2,60111,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,23,2,,3,2,,,,,
3,5293,,806.9481,1,2020,898,69,6,3,3,2,18,1,24013,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
13,32578,,68.1591,1,2020,33,7,6,3,3,2,23,1,40002,2,2,2,5,1,,51,56,1,8,48,2,2,2,1,4,537,2,,48,,,,,,,,,,,,1,56,1,1,,,,,
9,19791,,443.5497,1,2020,279,71,6,1,1,1,38,2,10018,,2,2,5,1,,92,1,2,8,56,2,2,2,1,7,,1,1,77,11,,,,,,,,,,,1,1,1,2,,,,,
5,9937,,117.0892,1,2020,156,26,7,2,2,2,64,2,60413,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,41,2,,3,2,,,,,
10,21572,,328.8014,1,2020,370,70,4,2,2,2,55,2,24012,,2,2,5,1,,52,47,1,5,30,2,2,2,3,,,2,,30,20,,,,,,,,,,,1,47,1,2,,,,,
13,31609,,255.8809,1,2020,262,15,5,1,1,1,70,2,60414,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,52,2,,3,1,,,,,
10,20680,,235.07,1,2020,141,31,10,1,1,1,35,2,10015,,2,2,5,1,,61,1,1,4,28,2,2,2,3,,,2,,28,20,,,,,,,,,,,1,1,1,1,,,,,
11,22882,,601.8683,1,2020,539,71,2,1,1,1,62,2,24015,,2,2,5,1,,13,10,1,8,40,2,2,2,4,,,2,,40,,,,,,,,,,,,1,10,1,1,,,,,
5,9666,,115.0535,1,2020,48,28,1,1,1,2,73,3,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,52,2,,3,2,,,,,
3,4146,,1654.3577,1,2020,901,69,9,6,6,2,7,1,10011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
8,16232,,1523.213,1,2020,1019,72,6,5,6,1,12,1,10018,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
10,22105,,319.5618,1,2020,559,72,3,1,1,2,68,3,60003,,2,2,5,1,,91,86,1,8,40,2,2,2,2,4,227,1,1,48,,,,,,,,,,,,1,86,1,1,,,,,
5,10533,,365.8771,1,2020,535,70,10,1,1,1,60,2,60716,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,5,,1,1,1,83,2,,2,2,,,,,
1,197,,405.2163,1,2020,4,69,4,1,1,2,64,3,60002,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,52,2,,3,2,,,,,
17,41074,,221.8366,1,2020,229,25,9,3,3,1,44,2,60811,,2,2,5,1,,61,1,2,8,48,2,2,2,3,,,2,,48,,,,,,,,,,,,1,1,1,2,,,,,
11,23725,,315.0549,1,2020,111,72,3,2,2,2,43,2,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,91,2,,3,1,,,,,
13,28957,,175.4311,1,2020,55,32,4,3,3,2,19,1,34013,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
1,28,,424.1599,1,2020,270,72,9,7,6,2,5,1,2000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
16,38272,,618.793,1,2020,273,71,3,2,2,2,28,2,24015,,2,2,5,1,,52,47,1,4,28,2,2,2,3,,,2,,28,20,,,,,,,,,,,1,47,1,1,,,,,
6,10938,,305.6985,1,2020,484,70,5,4,3,1,13,1,24011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,30719,,265.8939,1,2020,91,5,10,5,5,2,50,2,51013,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,1,,,,,
8,17473,,408.1231,1,2020,510,71,5,5,3,1,10,1,10014,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
10,21544,,383.8374,1,2020,364,72,7,1,1,1,35,2,24012,,2,2,5,1,,71,41,1,8,48,2,2,2,1,4,400,2,,48,,,,,,,,,,,,1,41,1,1,,,,,
9,19221,,509.3055,1,2020,630,69,3,1,1,1,36,2,40002,,2,2,5,1,,93,10,1,9,54,2,2,2,1,4,300,2,,54,12,,,,,,,,,,,1,10,1,1,,,,,
2,3160,,112.7733,1,2020,103,10,4,3,3,2,9,1,10013,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,32994,,605.4252,1,2020,574,69,7,1,1,2,54,3,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,91,2,,3,1,,,,,
10,21245,,472.7946,1,2020,151,69,6,3,3,2,17,1,34021,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
13,28458,,1401.3163,1,2020,1882,72,5,1,1,2,74,4,60413,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,41,2,,3,1,,,,,
6,12680,,263.1791,1,2020,63,9,7,7,6,2,8,1,10011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
16,37746,,215.8217,1,2020,4,23,7,3,3,2,8,1,10012,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
3,4058,,1171.7227,1,2020,1583,70,6,1,1,1,59,2,10015,,2,2,5,1,,83,49,1,8,48,2,2,2,3,,,2,,48,,,,,,,,,,,,1,49,1,1,,,,,
6,13425,,275.158,1,2020,88,22,6,3,3,2,50,1,70010,,2,2,5,1,,11,84,1,8,40,2,2,2,2,4,2045,2,,40,,,,,,,,,,,,1,84,1,2,,,,,
7,13640,,721.8964,1,2020,8,70,5,1,1,1,59,2,60811,,2,2,5,1,,13,10,1,5,20,2,2,2,4,,,2,,20,30,,,,,,,,,,,1,10,1,1,,,,,
14,34833,,142.7812,1,2020,102,11,5,2,2,2,31,2,24015,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,2,,,,,
13,28279,,787.8157,1,2020,622,69,6,5,3,1,7,1,10011,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
12,25942,,627.7854,1,2020,607,70,9,1,1,2,41,2,24013,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
12,25205,,568.6365,1,2020,128,72,7,7,8,2,10,1,10013,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,362,,381.5682,1,2020,387,71,6,5,3,1,23,4,24015,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,93,1,41,3,2,,,,,
14,33278,,169.1022,1,2020,141,28,8,4,3,1,20,1,34011,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,1,92,2,,3,2,,,,,
9,19969,,200.4037,1,2020,57,23,3,1,1,1,66,2,10013,,2,2,5,1,,61,1,1,3,15,2,2,2,3,,,1,1,28,20,,,,,,,,,,,1,1,1,2,,,,,
5,9131,,312.6279,1,2020,479,70,4,1,1,2,65,3,60002,,2,2,5,1,,53,84,1,8,24,2,2,2,2,7,,2,,24,20,,,,,,,,,,,1,84,1,2,,,,,
4,8351,,2227.1854,1,2020,57,72,5,4,3,2,10,1,10012,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
9,18352,,1072.8177,1,2020,57,71,9,6,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
6,12377,,312.7195,1,2020,156,22,5,5,3,1,20,1,34013,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,1,,,,,
13,28690,,1448.7166,1,2020,1199,69,4,1,1,1,49,2,60912,,2,2,5,1,,22,86,1,4,16,2,2,2,1,3,1200,2,,16,20,,,,,,,,,,,1,86,1,1,,,,,
3,4787,,1287.6501,1,2020,425,71,7,3,3,2,11,1,10015,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
5,8735,,607.8825,1,2020,672,70,4,1,1,2,69,3,24015,,2,2,5,1,,52,47,1,9,52,2,2,2,3,,,2,,52,11,,,,,,,,,,,1,47,1,2,,,,,
5,10601,,416.8597,1,2020,307,70,9,3,3,1,23,1,10018,2,2,2,5,1,,62,3,2,10,20,2,2,2,3,,,2,,20,25,,,,,,,,,,,1,3,1,2,,,,,
13,28886,,521.5144,1,2020,66,34,5,4,3,2,9,1,10012,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
7,14083,,1223.5041,1,2020,534,72,6,5,6,2,9,1,10012,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
3,4194,,1384.8013,1,2020,23,70,3,3,6,2,15,1,24012,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
14,34447,,141.57,1,2020,146,14,7,4,3,1,19,1,24015,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
3,5429,,423.0948,1,2020,150,71,6,4,3,2,12,1,10015,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
8,15860,,304.5591,1,2020,382,69,6,5,3,1,17,1,24012,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,1,2,1,1,1,92,1,1,2,2,,,,,
15,36801,,998.4833,1,2020,154,38,3,1,1,1,59,2,0,,2,2,5,1,,61,1,1,5,42,2,2,2,3,,,2,,42,,,,,,,,,,,,1,1,1,2,,,,,
3,4062,,1662.9044,1,2020,1583,70,5,5,4,2,42,1,10018,,2,2,5,1,,96,92,1,8,56,2,2,2,1,7,,2,,56,12,,,,,,,,,,,1,92,1,1,,,,,
1,533,,496.8055,1,2020,391,70,7,4,6,1,21,1,60314,2,2,2,5,1,,83,41,1,8,48,2,2,2,1,3,300,2,,48,,,,,,,,,,,,1,41,1,2,,,,,
13,30871,,230.1048,1,2020,411,5,11,8,3,2,17,1,24015,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
4,6822,,1727.9526,1,2020,539,72,4,4,3,1,9,1,10013,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,31758,,450.9974,1,2020,351,14,7,3,3,1,20,1,10018,2,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,91,2,,3,1,,,,,
2,2512,,337.7381,1,2020,229,72,10,5,3,2,13,1,24011,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
10,21112,,337.09,1,2020,12,70,4,1,1,1,67,2,10018,,2,2,5,1,,52,47,1,9,54,2,2,2,3,,,2,,54,11,,,,,,,,,,,1,47,1,1,,,,,
4,6634,,1837.5248,1,2020,1642,69,8,3,3,2,41,1,24015,,2,2,5,1,,82,26,1,8,48,2,2,2,1,4,375,2,,48,,,,,,,,,,,,1,26,1,2,,,,,
14,34198,,181.9243,1,2020,163,13,2,1,1,1,32,2,10018,,2,2,5,1,,61,1,1,8,48,2,2,2,3,,,2,,48,,,,,,,,,,,,1,1,1,2,,,,,
13,29804,,182.5664,1,2020,195,23,1,1,1,1,27,1,50314,,2,2,5,1,,93,32,2,8,48,2,2,2,1,4,537,2,,48,,,,,,,,,,,,1,32,1,1,,,,,
13,32939,,450.1981,1,2020,178,70,10,7,3,2,11,1,10015,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
13,26969,,1373.8863,1,2020,16,70,5,1,1,1,63,3,24013,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,14,1,47,3,1,,,,,
9,18751,,853.4013,1,2020,246,70,3,2,3,2,35,1,24015,,2,2,5,1,,92,1,1,3,15,2,2,2,6,,,2,,15,20,,,,,,,,,,,1,1,1,2,,,,,
15,35752,,216.0398,1,2020,149,33,5,1,1,1,50,2,10011,,2,2,5,1,,92,1,2,7,28,1,2,2,1,7,,2,,28,22,,,,,,,,,,,1,1,1,2,,,,,
3,5801,,184.9188,1,2020,59,13,10,10,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
4,8143,,893.2857,1,2020,846,71,9,8,6,2,5,1,0,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2,2457,,1003.4318,1,2020,619,71,6,3,3,2,38,4,60003,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
16,38407,,277.4923,1,2020,136,69,5,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
3,3502,,547.618,1,2020,160,70,7,2,2,2,68,2,24012,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,14,2,,3,1,,,,,
16,38144,,326.7351,1,2020,365,71,8,2,2,2,65,2,10013,,2,2,5,1,,92,1,1,8,32,2,2,2,6,,,2,,32,20,,,,,,,,,,,1,1,1,1,,,,,
5,8903,,930.2825,1,2020,455,72,5,5,3,2,16,1,35011,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
17,42157,,136.1443,1,2021,24,11,5,1,1,1,42,2,24015,,1,2,5,1,,83,49,1,8,42,2,2,2,1,7,,2,,42,,,,,,,,,,,,1,49,1,2,,,,,
6,12322,,530.553,1,2021,484,86,9,7,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
3,5371,,796.2214,1,2021,48,85,5,2,2,2,37,2,10018,,2,2,5,1,,91,96,1,8,48,2,2,2,0,4,380,2,,48,,,,,,,,,,,,1,96,1,2,,,,,
2,1848,,676.199,1,2021,651,85,3,2,2,2,63,2,10013,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,92,2,,3,2,,,,,
1,255,,265.9455,1,2021,466,86,5,3,3,1,21,1,60314,2,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,2,2,1,1,2,,,,2,2,,,,,
10,21567,,810.8342,1,2021,91,86,6,2,2,2,39,2,24013,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,0,,1,1,1,53,1,96,2,1,,,,,
6,13796,,393.4732,1,2021,273,28,4,1,1,2,37,2,60001,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,0,,1,1,2,,,,2,1,,,,,
15,38526,,405.2972,1,2021,277,25,4,2,2,2,40,2,10012,,2,2,5,1,,52,47,2,8,40,2,2,2,3,,,2,,40,,,,,,,,,,,,1,47,1,2,,,,,
15,38513,,509.3385,1,2021,79,27,3,2,2,2,68,2,10015,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,92,2,,3,1,,,,,
17,43560,,119.2731,1,2021,53,29,8,3,3,1,18,1,10014,2,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,5,,1,1,1,93,2,,2,1,,,,,
5,9616,,338.1077,1,2021,37,5,7,2,2,2,71,2,24011,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,6,,,,2,,,,3,1,,,,,
13,29121,,343.8569,1,2021,251,1,4,4,3,2,16,1,24015,1,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
1,496,,373.2199,1,2021,395,86,3,2,2,2,80,2,24015,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,93,2,,3,2,,,,,
3,3790,,2094.4723,1,2021,1345,87,4,3,3,2,21,1,24011,2,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,7,,,,2,,,,3,1,,,,,
2,2947,,373.8512,1,2021,47,13,9,6,8,1,9,1,10012,1,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
17,43858,,758.8077,1,2021,594,85,5,5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,32703,,321.0184,1,2021,425,22,3,3,6,2,18,1,24015,1,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
14,35347,,141.845,1,2021,1,3,4,4,3,1,14,1,10018,1,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
13,30524,,1950.8646,1,2021,2414,87,5,3,3,1,14,1,24012,1,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
17,43924,,142.6226,1,2021,122,42,5,1,1,1,39,2,24013,,2,2,5,1,,61,1,2,8,32,2,2,2,3,,,2,,32,20,,,,,,,,,,,1,1,1,2,,,,,
8,18850,,465.257,1,2021,504,87,6,2,2,2,42,2,10014,,2,2,5,1,,52,47,2,2,14,2,2,2,3,,,2,,14,22,,,,,,,,,,,1,47,1,2,,,,,
13,34004,,367.5382,1,2021,494,14,3,1,1,2,61,3,61013,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,14,2,,3,1,,,,,
13,29343,,428.3883,1,2021,206,4,6,4,3,2,18,1,35013,1,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,1,,,,,
3,4946,,330.1623,1,2021,88,4,5,4,5,2,29,2,60002,,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,42,2,,3,1,,,,,
4,7388,,3326.9613,1,2021,496,87,7,6,6,1,9,1,10013,1,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
17,41964,,228.6328,1,2021,42,14,6,3,3,1,25,1,10011,,2,2,5,1,,92,1,2,6,18,1,1,2,6,,,2,,18,32,,,,,,,,,,,1,41,1,2,,,,,
16,40550,,238.2278,1,2021,59,37,6,3,3,1,14,1,24012,1,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
8,19196,,260.2656,1,2021,174,13,3,3,3,2,17,1,34011,1,2,2,5,7,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,2,,,,,
