Survey Year,C04-Sex,C05-Age as of Last Birthday,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C23-Class of Worker (Primary Occupation)
2020,1,62,1,1,93,42,1
2020,1,17,2,2,,,
2020,1,40,1,1,54,84,2
2020,1,22,1,1,11,84,2
2020,2,0,2,1,,,
2020,1,29,2,2,,,
2020,1,12,2,2,,,
2020,2,0,2,1,,,
2020,1,13,2,2,,,
2020,2,15,2,2,,,
2020,1,3,2,1,,,
2020,1,32,1,1,71,41,1
2020,2,28,2,2,,,
2020,1,20,2,2,,,
2020,1,29,2,1,,,
2020,1,48,1,1,31,50,1
2020,2,90,2,2,,,
2020,2,20,2,2,,,
2020,1,33,1,1,92,1,1
2020,1,20,2,2,,,
2020,2,88,2,2,,,
2020,2,39,1,1,52,47,3
2020,2,5,2,2,,,
2020,2,85,2,2,,,
2020,2,45,1,1,61,1,3
2020,2,44,1,1,52,10,1
2020,1,3,2,1,,,
2020,1,15,2,2,,,
2020,1,41,1,1,13,49,3
2020,1,27,1,1,92,1,1
2020,1,22,1,1,23,85,2
2020,1,41,1,1,52,46,1
2020,1,7,2,2,,,
2020,1,4,2,1,,,
2020,2,79,2,2,,,
2020,2,7,2,2,,,
2020,1,7,2,2,,,
2020,1,54,2,1,,,
2020,1,20,1,1,32,11,1
2020,2,15,2,2,,,
2020,2,72,2,2,,,
2020,2,18,2,2,,,
2020,2,23,1,1,51,56,1
2020,1,38,1,1,92,1,1
2020,2,64,2,2,,,
2020,2,55,1,1,52,47,3
2020,1,70,2,2,,,
2020,1,35,1,1,61,1,3
2020,1,62,1,1,13,10,4
2020,2,73,2,2,,,
2020,2,7,2,2,,,
2020,1,12,2,2,,,
2020,2,68,1,1,91,86,2
2020,1,60,2,2,,,
2020,2,64,2,2,,,
2020,1,44,1,1,61,1,3
2020,2,43,2,2,,,
2020,2,19,2,2,,,
2020,2,5,2,2,,,
2020,2,28,1,1,52,47,3
2020,1,13,2,2,,,
2020,2,50,2,2,,,
2020,1,10,2,2,,,
2020,1,35,1,1,71,41,1
2020,1,36,1,1,93,10,1
2020,2,9,2,2,,,
2020,2,54,2,2,,,
2020,2,17,2,2,,,
2020,2,74,2,2,,,
2020,2,8,2,2,,,
2020,2,8,2,2,,,
2020,1,59,1,1,83,49,3
2020,2,50,1,1,11,84,2
2020,1,59,1,1,13,10,4
2020,2,31,2,2,,,
2020,1,7,2,2,,,
2020,2,41,2,1,,,
2020,2,10,2,2,,,
2020,1,23,2,2,,,
2020,1,20,2,2,,,
2020,1,66,1,1,61,1,3
2020,2,65,1,1,53,84,2
2020,2,10,2,2,,,
2020,1,3,2,1,,,
2020,1,20,2,2,,,
2020,1,49,1,1,22,86,1
2020,2,11,2,2,,,
2020,2,69,1,1,52,47,3
2020,1,23,1,1,62,3,3
2020,2,9,2,2,,,
2020,2,9,2,2,,,
2020,2,15,2,2,,,
2020,1,19,2,2,,,
2020,2,12,2,2,,,
2020,1,17,2,2,,,
2020,1,59,1,1,61,1,3
2020,2,42,1,1,96,92,1
2020,1,21,1,1,83,41,1
2020,2,17,2,2,,,
2020,1,9,2,2,,,
2020,1,20,2,2,,,
2020,2,13,2,2,,,
2020,1,67,1,1,52,47,3
2020,2,41,1,1,82,26,1
2020,1,32,1,1,61,1,3
2020,1,27,1,1,93,32,1
2020,2,11,2,2,,,
2020,1,63,2,2,,,
2020,2,35,1,1,92,1,6
2020,1,50,1,1,92,1,1
2020,1,4,2,1,,,
2020,2,5,2,2,,,
2020,2,38,2,1,,,
2020,1,4,2,1,,,
2020,2,68,2,2,,,
2020,2,65,1,1,92,1,6
2020,2,16,2,2,,,
2021,1,42,1,1,83,49,1
2021,1,4,2,1,,,
2021,2,37,1,1,91,96,0
2021,2,63,7,2,,,
2021,1,21,7,2,,,
2021,2,39,7,2,,,
2021,2,37,7,2,,,
2021,2,40,1,1,52,47,3
2021,2,68,7,2,,,
2021,1,18,7,2,,,
2021,2,71,7,2,,,
2021,2,16,7,2,,,
2021,2,80,7,2,,,
2021,2,21,7,2,,,
2021,1,9,7,2,,,
2021,1,1,2,1,,,
2021,2,18,7,2,,,
2021,1,14,7,2,,,
2021,1,14,7,2,,,
2021,1,39,1,1,61,1,3
2021,2,42,1,1,52,47,3
2021,2,61,7,2,,,
2021,2,18,7,2,,,
2021,2,29,7,2,,,
2021,1,9,7,2,,,
2021,1,25,1,1,92,1,6
2021,1,14,7,2,,,
2021,2,17,7,2,,,
2021,1,1,2,1,,,
2021,1,29,1,1,54,80,1
2021,1,15,7,2,,,
2021,1,13,7,2,,,
2021,1,14,7,2,,,
2021,2,9,7,2,,,
2021,2,24,1,1,83,50,1
2021,1,19,7,2,,,
2021,1,23,1,1,71,41,1
2021,1,76,1,1,61,1,3
2021,1,79,1,1,61,1,3
2021,1,39,1,1,91,64,1
2021,2,11,7,2,,,
2021,1,46,1,1,13,41,1
2021,1,26,7,2,,,
2021,1,12,7,2,,,
2021,1,20,1,1,71,95,1
2021,2,17,7,2,,,
2021,1,43,1,1,54,80,1
2021,1,6,7,2,,,
2021,1,4,2,1,,,
2021,2,31,7,2,,,
2021,1,0,2,1,,,
2021,1,35,1,1,61,1,3
2021,2,20,7,2,,,
2021,1,27,1,1,93,41,1
2021,1,10,7,2,,,
2021,2,58,7,2,,,
2021,1,19,7,2,,,
2021,2,6,7,2,,,
2021,1,13,7,2,,,
2021,1,30,1,1,93,41,1
2021,1,18,7,2,,,
2021,2,54,7,2,,,
2021,1,15,3,1,52,47,1
2021,2,11,7,2,,,
2021,2,77,7,2,,,
2021,2,63,7,2,,,
2021,2,81,7,2,,,
2021,2,7,7,2,,,
2021,1,16,7,2,,,
2021,2,40,7,2,,,
2021,1,61,1,1,61,1,3
2021,2,18,7,2,,,
2021,1,25,1,1,93,41,1
2021,2,31,1,1,14,47,3
2021,1,72,1,1,83,49,1
2021,1,58,1,1,83,49,3
2021,1,7,7,2,,,
2021,2,0,2,1,,,
2021,2,18,7,2,,,
2021,1,71,3,1,52,47,6
2021,2,12,7,2,,,
2021,2,28,7,2,,,
2021,1,51,1,1,83,49,3
2021,1,56,1,1,11,84,2
2021,2,8,7,2,,,
2021,1,1,2,1,,,
2021,1,7,7,2,,,
2021,2,15,7,2,,,
2021,1,57,1,1,54,80,1
2021,1,35,1,1,23,85,2
2021,2,20,7,2,,,
2021,1,51,1,1,61,1,3
2021,1,40,2,1,,,
2021,2,13,7,2,,,
2021,2,32,3,1,42,61,1
2021,1,7,7,2,,,
2021,2,54,1,1,22,86,1
2021,1,8,7,2,,,
2021,1,50,1,1,74,43,1
2021,1,20,7,2,,,
2021,2,12,7,2,,,
2021,1,53,1,1,72,24,1
2021,2,23,3,1,52,47,3
2021,1,30,1,1,92,2,1
2021,2,47,2,1,21,26,1
2021,1,25,7,2,,,
2021,2,20,7,2,,,
2021,1,38,1,1,71,41,1
2021,2,10,7,2,,,
2021,1,57,1,1,92,1,1
2021,1,31,1,1,51,56,1
2021,1,9,7,2,,,
2021,1,71,7,2,,,
2021,2,59,7,2,,,
2021,2,66,7,2,,,
2021,2,24,2,1,,,
2021,2,1,2,1,,,
2021,1,38,1,1,61,1,3
2021,2,8,7,2,,,
2021,2,72,7,2,,,
2021,1,12,7,2,,,
2021,1,4,2,1,,,
2021,1,9,7,2,,,
2021,1,6,7,2,,,
2021,1,12,7,2,,,
2021,2,57,7,2,,,
2021,1,5,7,2,,,
2021,1,11,7,2,,,
2021,2,61,7,2,,,
2021,1,9,7,2,,,
2021,2,24,3,1,75,13,1
2021,1,15,3,1,93,47,6
2021,2,8,7,2,,,
2021,1,53,1,1,92,1,1
2021,1,7,7,2,,,
2021,2,22,7,2,,,
2021,1,13,7,2,,,
2021,2,33,7,2,,,
2021,1,27,1,1,81,10,1
2021,2,77,7,2,,,
2021,2,41,7,2,,,
2021,2,21,7,2,,,
2021,1,5,7,2,,,
2021,2,39,1,1,41,82,1
2021,2,46,1,1,91,96,0
2021,2,0,2,1,,,
2021,2,61,3,1,91,96,0
2021,1,10,7,2,,,
2021,1,37,1,1,51,49,1
2021,1,22,1,1,71,41,1
2021,2,8,7,2,,,
2021,2,19,7,2,,,
2021,1,3,2,1,,,
2021,1,40,1,1,94,56,1
2021,1,32,1,1,62,3,3
2021,1,8,7,2,,,
2021,1,58,1,1,83,49,3
2021,1,17,7,2,,,
2021,2,19,1,1,92,1,6
2021,1,32,1,1,61,1,3
2021,1,6,7,2,,,
2021,1,2,2,1,,,
2021,1,23,1,1,92,1,5
2021,1,44,1,1,92,1,1
2021,1,38,1,1,52,47,3
2021,2,51,7,2,,,
2021,2,19,7,2,,,
2021,1,18,7,2,,,
2021,1,5,7,2,,,
2021,1,38,2,1,14,47,3
2021,1,22,7,2,,,
2021,2,57,1,1,52,47,3
2021,1,74,7,2,,,
2021,2,4,2,1,,,
2021,2,52,7,2,,,
2021,2,16,7,2,,,
2021,2,15,7,2,,,
2021,1,7,7,2,,,
2021,2,12,7,2,,,
2021,2,9,7,2,,,
2021,2,13,7,2,,,
2021,2,22,7,2,,,
2021,2,7,7,2,,,
